Date,Symbol,Open,High,Low,Close,Volume,Market Cap
01-06-2018,BTC,7500.7,7604.73,7407.34,7541.45,4921460224,1.28014E+11
02-06-2018,BTC,7536.72,7695.83,7497.26,7643.45,4939299840,1.28645E+11
03-06-2018,BTC,7632.09,7754.89,7613.04,7720.25,4851760128,1.30288E+11
04-06-2018,BTC,7722.53,7753.82,7474.04,7514.47,4993169920,1.31847E+11
05-06-2018,BTC,7500.9,7643.23,7397,7633.76,4961739776,1.28081E+11
06-06-2018,BTC,7625.97,7680.43,7502.01,7653.98,4692259840,1.30233E+11
07-06-2018,BTC,7650.82,7741.27,7650.82,7678.24,4485799936,1.30671E+11
08-06-2018,BTC,7685.14,7698.19,7558.4,7624.92,4227579904,1.31271E+11
09-06-2018,BTC,7632.52,7683.58,7531.98,7531.98,3845220096,1.30386E+11
10-06-2018,BTC,7499.55,7499.55,6709.07,6786.02,5804839936,1.28128E+11
11-06-2018,BTC,6799.29,6910.18,6706.63,6906.92,4745269760,1.16175E+11
12-06-2018,BTC,6905.82,6907.96,6542.08,6582.36,4654380032,1.18007E+11
13-06-2018,BTC,6596.88,6631.66,6285.63,6349.9,5052349952,1.1274E+11
14-06-2018,BTC,6342.75,6707.14,6334.46,6675.35,5138710016,1.08408E+11
15-06-2018,BTC,6674.08,6681.08,6433.87,6456.58,3955389952,1.14084E+11
16-06-2018,BTC,6455.45,6592.49,6402.29,6550.16,3194170112,1.10359E+11
17-06-2018,BTC,6545.53,6589.11,6499.27,6499.27,3104019968,1.11913E+11
18-06-2018,BTC,6510.07,6781.14,6446.68,6734.82,4039200000,1.11319E+11
19-06-2018,BTC,6742.39,6822.5,6709.92,6769.94,4057029888,1.15306E+11
20-06-2018,BTC,6770.76,6821.56,6611.88,6776.55,3888640000,1.15804E+11
21-06-2018,BTC,6780.09,6810.94,6715.17,6729.74,3529129984,1.15977E+11
22-06-2018,BTC,6737.88,6747.08,6006.6,6083.69,5079810048,1.15269E+11
23-06-2018,BTC,6090.1,6224.82,6071.81,6162.48,3431360000,1.04198E+11
24-06-2018,BTC,6164.28,6223.78,5826.41,6173.23,4566909952,1.0548E+11
25-06-2018,BTC,6171.97,6327.37,6119.68,6249.18,5500810240,1.05625E+11
26-06-2018,BTC,6253.55,6290.16,6093.67,6093.67,3279759872,1.07033E+11
27-06-2018,BTC,6084.4,6180,6052.85,6157.13,3296219904,1.04149E+11
28-06-2018,BTC,6153.16,6170.41,5873.05,5903.44,3467800064,1.05336E+11
29-06-2018,BTC,5898.13,6261.66,5835.75,6218.3,3966230016,1.00981E+11
30-06-2018,BTC,6214.22,6465.51,6214.22,6404,4543860224,1.06405E+11
01-07-2018,BTC,6411.68,6432.85,6289.29,6385.82,4788259840,1.09797E+11
02-07-2018,BTC,6380.38,6683.86,6305.7,6614.18,4396930048,1.09273E+11
03-07-2018,BTC,6596.66,6671.37,6447.75,6529.59,4672309760,1.12989E+11
04-07-2018,BTC,6550.87,6771.92,6450.46,6597.55,4176689920,1.12214E+11
05-07-2018,BTC,6599.71,6749.54,6546.65,6639.14,4999240192,1.13062E+11
06-07-2018,BTC,6638.69,6700.94,6533.55,6673.5,4313959936,1.13741E+11
07-07-2018,BTC,6668.71,6863.99,6579.24,6856.93,3961080064,1.14268E+11
08-07-2018,BTC,6857.8,6885.91,6747.98,6773.88,3386210048,1.17522E+11
09-07-2018,BTC,6775.08,6838.68,6724.34,6741.75,3718129920,1.16118E+11
10-07-2018,BTC,6739.21,6767.74,6320.72,6329.95,4052430080,1.15514E+11
11-07-2018,BTC,6330.77,6444.96,6330.47,6394.71,3644859904,1.08525E+11
12-07-2018,BTC,6396.78,6397.1,6136.42,6228.81,3770170112,1.09667E+11
13-07-2018,BTC,6235.03,6310.55,6192.24,6238.05,3805400064,1.06906E+11
